HEADER|DTP1.00 |      156356|         366|        |XSHG03|20150820-13:35:05.250|0|T10     
M0301|11000293|        4234|              74|        57196.00|     0.0874|     0.0824|     0.0824|           0|     0.0824|     0.0764|     0.0784|     0.0768|           5|     0.0786|           5|     0.0766|           5|     0.0795|           5|     0.0764|          17|     0.0799|          30|     0.0762|           5|     0.0838|          10|     0.0761|          35|     0.0844|          65|     0.0000|T 0 |11:24:55.960
M0301|11000294|        4764|             133|       816244.00|     0.6756|     0.5807|     0.5807|           0|     0.6453|     0.5807|     0.6383|     0.6385|          10|     0.6453|           5|     0.6383|          13|     0.6455|           5|     0.6381|           5|     0.6504|          30|     0.6378|          10|     0.6511|          10|     0.6297|          30|     0.6517|          30|     0.0000|T 0 |13:30:05.720
M0301|11000295|        6056|             138|      1045511.00|     0.7709|     0.7907|     0.7907|           0|     0.7907|     0.7271|     0.7450|     0.7443|           5|     0.7450|          28|     0.7441|           5|     0.7483|          30|     0.7193|           5|     0.7885|           5|     0.7191|           5|     0.7987|          65|     0.7187|           5|     0.8092|          10|     0.0000|T 0 |11:23:51.180
M0301|11000296|        4631|             157|      1282778.00|     0.8265|     0.8441|     0.8441|           0|     0.8441|     0.7896|     0.8166|     0.8165|           5|     0.8166|          12|     0.7818|           5|     0.8173|          10|     0.7807|           5|     0.8216|          30|     0.7774|          40|     0.8521|          65|     0.7772|           5|     0.8543|           5|     0.0000|T 0 |13:34:22.230
M0301|11000297|        4434|             133|      1203327.00|     0.9559|     0.9390|     0.9390|           0|     0.9390|     0.8714|     0.8984|     0.8913|           5|     0.8984|          29|     0.8911|           5|     0.9034|          30|     0.8636|          10|     0.9470|          70|     0.8629|          10|     0.9664|          10|     0.8597|          40|     0.9785|           5|     0.0000|T 0 |10:26:16.780
M0301|11000298|        3624|             113|      1130773.00|     1.0410|     1.0288|     1.0288|           0|     1.0288|     0.9500|     0.9500|     0.9453|          15|     0.9601|          24|     0.9451|           1|     0.9814|          30|     0.9450|          35|     1.0329|           5|     0.9448|          10|     1.0360|           5|     0.9446|          10|     1.0368|          60|     0.0000|T 0 |11:13:49.270
M0301|11000303|        5060|             152|        10444.00|     0.0096|     0.0072|     0.0096|           0|     0.0074|     0.0064|     0.0065|     0.0065|         104|     0.0069|          30|     0.0064|           5|     0.0074|          10|     0.0062|          35|     0.0076|          10|     0.0058|          10|     0.0087|           5|     0.0051|          95|     0.0094|           5|     0.0000|T 0 |13:34:45.310
M0301|11000304|        3240|             204|      2190344.00|     1.1060|     1.0919|     1.1060|           0|     1.0919|     1.0442|     1.0600|     1.0539|          10|     1.0600|           5|     1.0537|          30|     1.0616|          30|     1.0536|           5|     1.0623|          10|     1.0532|          10|     1.0624|           5|     1.0517|          30|     1.0636|          30|     0.0000|T 0 |13:03:44.830
M0301|11000305|        3421|             174|        88728.00|     0.0578|     0.0509|     0.0509|           0|     0.0529|     0.0495|     0.0496|     0.0499|           5|     0.0527|           5|     0.0497|          10|     0.0529|          30|     0.0495|          19|     0.0536|          10|     0.0493|           5|     0.0540|          30|     0.0490|          10|     0.0543|           5|     0.0000|T 0 |13:29:40.270
M0301|11000306|        4443|             137|      1407671.00|     1.1103|     1.0196|     1.1103|           0|     1.0438|     1.0196|     1.0438|     1.0461|           5|     1.0499|          35|     1.0459|           5|     1.0580|          30|     1.0438|           3|     1.1116|           5|     1.0386|           5|     1.1300|           5|     1.0337|          10|     1.1485|          10|     0.0000|T 0 |11:18:29.500
M0301|11000307|        3599|              22|        39344.00|     0.2031|     0.1812|     0.1812|           0|     0.1812|     0.1786|     0.1812|     0.1786|          70|     0.1812|          58|     0.1784|           5|     0.1814|           5|     0.1779|          10|     0.1819|          10|     0.1765|          30|     0.1845|          30|     0.1732|          60|     0.1867|          30|     0.0000|T 0 |10:32:29.900
M0301|11000308|        2807|             200|      1161657.00|     0.5937|     0.5514|     0.5514|           0|     0.6011|     0.5514|     0.6011|     0.5809|          33|     0.6009|           5|     0.5802|          10|     0.6011|           4|     0.5772|          30|     0.6013|           5|     0.5708|          10|     0.6050|          30|     0.5636|           5|     0.6057|          10|     0.0000|T 0 |10:59:28.790
M0301|11000309|        3209|             163|       316922.00|     0.2243|     0.1799|     0.1799|           0|     0.2192|     0.1799|     0.2140|     0.2140|          11|     0.2190|           5|     0.2133|          10|     0.2192|           9|     0.2124|          30|     0.2193|           5|     0.2075|           5|     0.2199|          10|     0.2000|           1|     0.2200|           5|     0.0000|T 0 |13:34:18.530
M0301|11000310|        3756|              82|       441820.00|     0.5456|     0.5406|     0.5456|           0|     0.5446|     0.5250|     0.5250|     0.5152|          10|     0.5250|          13|     0.5150|           1|     0.5252|           5|     0.5148|           1|     0.5283|          30|     0.5146|          35|     0.5408|           5|     0.5145|          10|     0.5486|          60|     0.0000|T 0 |09:44:52.140
M0301|11000319|       12243|             744|        66361.00|     0.0075|     0.0057|     0.0050|           0|     0.2263|     0.0049|     0.0061|     0.0056|         100|     0.0060|          10|     0.0055|          30|     0.0065|           5|     0.0050|         114|     0.0066|          35|     0.0049|          40|     0.0067|          10|     0.0047|          10|     0.0069|           5|     0.0000|T 0 |13:28:51.810
M0301|11000320|        4695|             472|        21114.00|     0.0057|     0.0041|     0.0057|           0|     0.0053|     0.0035|     0.0047|     0.0047|          70|     0.0049|           5|     0.0046|         115|     0.0051|          15|     0.0045|          30|     0.0052|          30|     0.0040|          15|     0.0060|           5|     0.0038|           6|     0.0063|           5|     0.0000|T 0 |13:14:36.230
M0301|11000321|        3900|             155|      1830150.00|     1.2060|     1.1940|     1.2060|           0|     1.1989|     1.1569|     1.1569|     1.1571|          10|     1.1654|          30|     1.1569|          20|     1.1661|          10|     1.1568|           5|     1.1663|           5|     1.1549|          30|     1.1674|          20|     1.1459|          15|     1.1796|           5|     0.0000|T 0 |13:24:26.600
M0301|11000322|        2441|              86|      1075195.00|     1.3060|     1.2377|     1.2377|           0|     1.2860|     1.2377|     1.2683|     1.2394|          10|     1.2500|          20|     1.2392|          30|     1.2507|          10|     1.2391|           5|     1.2510|           5|     1.2372|          30|     1.2684|          15|     1.2297|          60|     1.2780|           5|     0.0000|T 0 |11:26:46.460
M0301|11000323|        3525|             215|       111011.00|     0.0578|     0.0537|     0.0537|           0|     0.0548|     0.0508|     0.0509|     0.0509|           2|     0.0520|          44|     0.0508|           9|     0.0548|          10|     0.0501|          10|     0.0549|           5|     0.0493|           5|     0.0550|           5|     0.0487|          30|     0.0555|          30|     0.0000|T 0 |13:34:24.910
M0301|11000324|        3367|             342|       144184.00|     0.0403|     0.0428|     0.0428|           0|     0.0457|     0.0395|     0.0404|     0.0404|           5|     0.0424|           5|     0.0402|          10|     0.0426|          30|     0.0395|          15|     0.0437|           8|     0.0382|           5|     0.0439|          10|     0.0379|          30|     0.0473|           5|     0.0000|T 0 |13:34:58.440
M0301|11000325|        3103|             101|      1119382.00|     1.2140|     1.0762|     1.0762|           0|     1.1601|     1.0762|     1.1538|     1.1538|          25|     1.1599|           5|     1.1531|          10|     1.1601|          25|     1.1437|           5|     1.1603|           5|     1.1373|          30|     1.1608|          10|     1.1257|           5|     1.1663|          30|     0.0000|T 0 |13:25:12.480
M0301|11000326|        2974|              80|       955160.00|     1.3060|     1.1815|     1.1815|           0|     1.2313|     1.1815|     1.2313|     1.2250|           5|     1.2313|          15|     1.2248|          16|     1.2315|           5|     1.2246|           5|     1.2320|          10|     1.2241|          10|     1.2376|          30|     1.2147|           5|     1.3114|           5|     0.0000|T 0 |11:28:24.650
M0301|11000351|        4074|             425|        20535.00|     0.0048|     0.0042|     0.0048|           0|     0.0060|     0.0042|     0.0046|     0.0046|         130|     0.0047|           5|     0.0045|           5|     0.0048|           5|     0.0039|          10|     0.0050|          10|     0.0036|           5|     0.0054|          30|     0.0035|          25|     0.0059|           5|     0.0000|T 0 |13:15:00.500
M0301|11000352|        4988|             187|        10173.00|     0.0048|     0.0058|     0.0048|           0|     0.0059|     0.0052|     0.0053|     0.0052|          35|     0.0053|          45|     0.0050|           5|     0.0058|          10|     0.0040|          50|     0.0059|          30|     0.0038|          10|     0.0060|          10|     0.0031|           5|     0.0062|          10|     0.0000|T 0 |13:27:56.690
M0301|11000353|        2025|             150|      2035304.00|     1.4060|     1.2931|     1.2931|           0|     1.4161|     1.2851|     1.3921|     1.3521|          10|     1.3635|          15|     1.3519|          30|     1.3642|          10|     1.3518|           5|     1.3645|           5|     1.3499|          30|     1.3707|           5|     1.3466|          15|     1.3738|           5|     0.0000|T 0 |11:26:46.460
M0301|11000354|        1848|             134|      2011342.00|     1.5060|     1.5406|     1.5060|           0|     1.5486|     1.4625|     1.4625|     1.4517|          10|     1.4625|           5|     1.4515|          35|     1.4636|           5|     1.4514|           5|     1.4699|           5|     1.4508|          10|     1.4730|           5|     1.4495|          30|     1.4740|          30|     0.0000|T 0 |11:29:36.820
M0301|11000355|        3492|             389|       112852.00|     0.0304|     0.0326|     0.0326|           0|     0.0330|     0.0269|     0.0281|     0.0281|          10|     0.0287|          20|     0.0274|          10|     0.0298|          35|     0.0270|          30|     0.0308|          10|     0.0268|           5|     0.0309|           5|     0.0259|          35|     0.0314|           5|     0.0000|T 0 |13:29:40.270
M0301|11000356|        3086|             272|        77119.00|     0.0271|     0.0314|     0.0314|           0|     0.0314|     0.0255|     0.0265|     0.0267|          10|     0.0280|          19|     0.0260|          10|     0.0287|           5|     0.0255|          20|     0.0291|          30|     0.0250|          10|     0.0297|           5|     0.0244|          30|     0.0300|          10|     0.0000|T 0 |13:29:40.270
M0301|11000357|        2844|             150|      1927805.00|     1.4060|     1.2723|     1.2723|           0|     1.3031|     1.2723|     1.3031|     1.2927|          10|     1.3031|          20|     1.2925|           5|     1.3151|          30|     1.2920|          10|     1.3832|           5|     1.2892|           5|     1.4018|           5|     1.2819|          30|     1.4326|          10|     0.0000|T 0 |09:44:06.680
M0301|11000358|        2343|             106|      1519831.00|     1.5060|     1.4508|     1.5060|           0|     1.4508|     1.3932|     1.4051|     1.3825|          10|     1.4051|          24|     1.3823|           5|     1.4058|          10|     1.3818|          10|     1.4364|          30|     1.3737|          40|     1.4588|          65|     1.3735|           5|     1.4852|           5|     0.0000|T 0 |10:37:28.120
M0301|11000363|        6515|            1155|       284099.00|     0.0254|     0.0286|     0.0286|           0|     0.0314|     0.0185|     0.0197|     0.0185|           5|     0.0197|          17|     0.0184|           5|     0.0198|           5|     0.0179|          10|     0.0199|           5|     0.0174|          30|     0.0204|          10|     0.0172|          15|     0.0205|           3|     0.0000|T 0 |13:34:47.430
M0301|11000364|        4314|            1053|       127076.00|     0.0131|     0.0119|     0.0119|           0|     0.0172|     0.0084|     0.0107|     0.0099|          13|     0.0100|          30|     0.0092|          10|     0.0107|           4|     0.0089|          30|     0.0108|          10|     0.0080|           5|     0.0110|          10|     0.0036|           5|     0.0115|          10|     0.0000|T 0 |13:35:01.860
M0301|11000365|        4056|             572|        68015.00|     0.0125|     0.0126|     0.0126|           0|     0.0142|     0.0073|     0.0082|     0.0075|           5|     0.0082|          13|     0.0073|          21|     0.0084|          19|     0.0059|           5|     0.0086|           9|     0.0017|          15|     0.0089|          10|     0.0016|           5|     0.0108|           5|     0.0000|T 0 |13:34:44.220
M0301|11000366|        4260|            7140|       359109.00|     0.0066|     0.0067|     0.0038|          92|     0.0104|     0.0008|     0.0008|     0.0037|          92|     0.0037|          92|           |          45|           |            |           |            |           |            |           |            |           |            |           |            |           |            |     0.0000|V 0 |13:33:58.610
M0301|11000367|        6517|            1306|        73476.00|     0.0065|     0.0042|     0.0065|           0|     0.0070|     0.0036|     0.0058|     0.0058|           4|     0.0061|           9|     0.0056|          63|     0.0063|           1|     0.0049|          10|     0.0065|           3|     0.0043|          32|     0.0067|          31|     0.0036|          42|     0.0068|          10|     0.0000|T 0 |13:33:09.910
M0301|11000368|        2578|             785|      4835641.00|     0.6287|     0.5724|     0.5724|           0|     0.6356|     0.5698|     0.6103|     0.6056|           5|     0.6139|          30|     0.6031|          20|     0.6146|          10|     0.6024|          10|     0.6359|           5|     0.6012|          30|     0.6422|           5|     0.5972|           5|     0.6529|           5|     0.0000|T 0 |13:34:25.960
M0301|11000369|        2316|            1088|      7860793.00|     0.7164|     0.6685|     0.6685|           0|     0.7440|     0.6685|     0.7127|     0.7076|           5|     0.7140|          18|     0.7074|          21|     0.7147|          10|     0.7067|          10|     0.7159|          30|     0.7060|          30|     0.7462|           5|     0.7005|          15|     0.7670|           5|     0.0000|T 0 |13:30:17.800
M0301|11000370|        2337|            2424|     19215216.00|     0.8156|     0.7498|     0.7498|           0|     0.8429|     0.7498|     0.8157|     0.8157|           4|     0.8170|          30|     0.8155|           1|     0.8245|          30|     0.8093|           2|     0.8429|           2|     0.8074|          35|     0.8513|           5|     0.8067|          10|     0.8663|           5|     0.0000|T 0 |13:34:44.220
